Champion,Played,Winrate,KDA,Creeps / minute,Gold / min,Pentakills,Rank
Xerath,92,60.9%,"7.6
/
5.9
/
12.5",1.6,380.6,0,"2,203
(TR: 76)"
Thresh,27,63.0%,"4.1
/
7.1
/
18.7",1.6,318.3,0,"49,705
(TR: 2,059)"
Blitzcrank,7,57.1%,"9.4
/
10.9
/
21.6",1.0,519.7,0,-
Gragas,7,57.1%,"14.6
/
10.9
/
19.6",2.2,624.0,0,-
Lux,5,40.0%,"7.4
/
7.8
/
20.6",2.0,540.6,0,-
Yasuo,4,75.0%,"8.0
/
12.5
/
22.0",3.7,758.4,0,-
Vel'Koz,4,75.0%,"11.8
/
10.0
/
20.8",1.5,682.5,0,-
Riven,3,66.7%,"6.3
/
6.3
/
8.7",4.3,476.9,0,-
Vex,3,100.0%,"11.7
/
5.3
/
18.0",1.6,748.4,0,-
Morgana,3,66.7%,"5.7
/
10.7
/
28.3",1.1,614.7,0,-
Lee Sin,3,66.7%,"16.7
/
9.3
/
26.3",1.8,797.0,0,-
Veigar,2,50.0%,"20.0
/
12.5
/
26.0",2.5,814.4,0,-
Karma,2,100.0%,"13.0
/
11.5
/
30.0",1.5,566.8,0,-
Ahri,2,0.0%,"5.5
/
15.5
/
26.0",2.5,606.0,0,-
Malphite,2,50.0%,"11.0
/
9.0
/
23.0",1.2,713.2,0,-
Jayce,2,50.0%,"17.5
/
10.0
/
28.5",2.1,856.7,0,-
Brand,2,0.0%,"8.0
/
12.0
/
27.0",2.4,657.8,0,-
Graves,2,100.0%,"14.5
/
12.5
/
25.5",2.9,764.9,0,-
Teemo,2,100.0%,"5.0
/
12.0
/
31.5",0.8,605.5,0,-
Twisted Fate,2,50.0%,"10.0
/
9.0
/
22.5",2.5,735.7,0,-
Jarvan IV,2,50.0%,"14.5
/
12.0
/
27.0",1.8,824.6,0,-
Ezreal,2,50.0%,"14.0
/
8.5
/
16.0",3.0,784.2,0,-
Ziggs,2,50.0%,"10.5
/
7.5
/
22.0",2.4,718.5,0,-
Shaco,1,100.0%,"9.0
/
10.0
/
25.0",0.8,680.5,0,-
Tristana,1,0.0%,"9.0
/
12.0
/
29.0",3.8,698.4,0,-
Viktor,1,0.0%,"9.0
/
15.0
/
21.0",1.3,697.5,0,-
Akshan,1,0.0%,"11.0
/
10.0
/
18.0",3.1,784.9,0,-
Quinn,1,100.0%,"19.0
/
9.0
/
29.0",3.0,842.9,0,-
Fizz,1,0.0%,"16.0
/
11.0
/
18.0",2.1,831.3,0,-
Rengar,1,100.0%,"26.0
/
18.0
/
19.0",1.4,824.4,0,-
Nautilus,1,0.0%,"7.0
/
10.0
/
21.0",1.2,656.3,0,-
Annie,1,0.0%,"12.0
/
13.0
/
28.0",1.5,716.8,0,-
Gangplank,1,0.0%,"14.0
/
11.0
/
30.0",1.8,706.2,0,-
Ashe,1,0.0%,"9.0
/
12.0
/
21.0",3.7,669.2,1,-
Katarina,1,0.0%,"6.0
/
14.0
/
20.0",1.6,624.8,0,-
Garen,1,100.0%,"8.0
/
11.0
/
11.0",1.2,674.5,0,-
LeBlanc,1,100.0%,"7.0
/
9.0
/
17.0",0.5,558.6,0,-
Fiddlesticks,1,100.0%,"9.0
/
11.0
/
32.0",2.6,732.5,0,-
Varus,1,100.0%,"19.0
/
6.0
/
34.0",3.4,887.5,0,-
Lissandra,1,0.0%,"12.0
/
12.0
/
25.0",3.2,744.8,0,-
Caitlyn,1,100.0%,"27.0
/
14.0
/
25.0",3.2,860.3,0,-
Bard,1,0.0%,"15.0
/
9.0
/
27.0",1.2,758.5,0,-
Vayne,1,100.0%,"9.0
/
9.0
/
17.0",2.7,824.9,0,-
Jinx,1,0.0%,"5.0
/
8.0
/
7.0",4.3,720.6,0,-
Yone,1,100.0%,"16.0
/
14.0
/
27.0",3.3,731.7,0,-
Heimerdinger,1,100.0%,"15.0
/
17.0
/
34.0",2.8,735.7,0,-
Syndra,1,0.0%,"5.0
/
8.0
/
19.0",1.7,622.2,0,-
Lucian,1,0.0%,"26.0
/
15.0
/
21.0",4.7,864.1,0,-
Nami,1,100.0%,"4.0
/
13.0
/
48.0",0.4,563.7,0,-
